Crop,Soil_pH,Organic_Matter_Percent,N_Content_mgkg,P_Content_mgkg,K_Content_mgkg,Rainfall_mm,Temperature_C,Yield_Tons_per_ha,Fertilizer_Recommendation
Wheat,6.81,3.57,118.5,33.1,263.6,685.7,17.5,4.48,No fertilizer needed
Corn,6.2,2.19,139.4,41.5,196.1,622.4,19.2,6.3,No fertilizer needed
Wheat,6.93,3.0,83.0,20.0,196.0,586.6,18.2,4.25,Need P fertilizer
Corn,6.78,3.69,97.6,51.2,201.8,527.4,22.0,6.19,No fertilizer needed
Wheat,6.86,3.76,111.1,39.7,112.9,527.5,20.3,4.34,Need K fertilizer
Rice,5.69,4.29,125.5,60.5,121.2,932.9,22.5,4.77,No fertilizer needed
Rice,6.74,4.36,108.0,28.7,156.9,926.0,24.2,5.12,No fertilizer needed
Corn,7.1,2.22,100.8,23.0,243.7,737.8,21.8,6.38,Need P fertilizer
Rice,5.47,5.33,109.7,31.9,227.9,768.2,21.9,4.6,No fertilizer needed
Rice,5.24,4.04,106.9,21.0,122.3,835.5,26.1,4.91,No fertilizer needed
Corn,6.87,3.84,76.9,6.0,210.2,815.0,22.7,5.7,Need N-P complex fertilizer
Corn,7.11,3.32,100.6,24.7,131.2,665.4,21.0,6.15,Need P fertilizer
Wheat,5.88,2.53,94.7,39.9,193.3,761.6,16.1,4.22,No fertilizer needed
Wheat,6.83,3.15,95.3,18.9,206.8,599.3,17.8,4.45,Need P fertilizer
Wheat,6.64,3.55,93.9,27.9,188.3,549.9,18.8,4.54,No fertilizer needed
Corn,6.26,2.89,98.2,28.7,190.3,632.0,22.7,6.57,No fertilizer needed
Wheat,7.12,3.77,112.7,28.8,270.0,672.3,16.2,4.31,No fertilizer needed
Soybeans,7.09,4.89,54.1,50.4,225.9,456.5,24.6,3.26,No fertilizer needed
Rice,5.99,4.56,79.9,27.9,146.5,940.4,25.8,4.72,Need N fertilizer
Wheat,6.78,3.55,87.8,33.8,234.2,719.2,21.6,4.27,No fertilizer needed
Wheat,6.49,3.01,74.9,42.9,228.2,662.5,16.5,4.67,No fertilizer needed
Rice,6.63,3.8,117.7,15.6,166.3,898.9,22.8,4.92,Need P fertilizer
Soybeans,7.55,4.47,96.3,28.9,178.8,497.8,25.6,3.07,Need P fertilizer
Wheat,6.4,3.67,110.1,5.8,171.0,525.9,18.2,4.47,Need P fertilizer
Corn,6.76,2.71,112.0,60.9,196.7,669.3,23.5,6.02,No fertilizer needed
Wheat,7.01,4.21,106.9,41.7,165.8,531.8,14.4,4.53,No fertilizer needed
Corn,5.58,2.58,111.6,22.8,137.5,717.6,20.6,6.3,Need P fertilizer
Soybeans,7.27,4.83,30.1,55.7,180.6,647.2,23.4,3.06,Need N fertilizer
Corn,6.92,2.38,85.9,33.5,211.2,647.2,22.9,6.05,Need N fertilizer
Corn,6.44,2.97,101.7,27.4,131.6,730.8,25.5,6.17,No fertilizer needed
Wheat,7.63,2.97,104.3,34.8,205.4,422.1,20.2,4.18,No fertilizer needed
Soybeans,6.6,4.27,59.7,31.0,166.5,504.8,23.1,3.17,Need P fertilizer
Soybeans,6.11,3.78,94.3,48.9,252.9,608.6,23.6,3.05,No fertilizer needed
Wheat,6.3,3.75,80.2,35.2,105.5,495.3,17.6,4.1,Need K fertilizer
Soybeans,7.12,4.96,99.7,39.0,174.0,570.0,19.8,3.03,No fertilizer needed
Soybeans,6.64,3.31,61.2,49.1,206.1,585.7,22.0,3.07,No fertilizer needed
Wheat,6.58,3.89,126.8,31.1,224.2,615.6,20.7,4.62,No fertilizer needed
Corn,7.0,2.07,101.5,50.3,151.5,520.6,24.9,6.08,No fertilizer needed
Wheat,5.32,3.64,102.9,37.0,166.5,583.2,16.9,4.63,No fertilizer needed
Rice,5.58,3.88,137.9,38.7,188.8,989.8,24.0,4.9,No fertilizer needed
Soybeans,6.36,4.14,32.6,51.9,189.8,652.3,20.3,2.99,Need N fertilizer
Wheat,6.82,2.22,84.3,17.5,177.6,587.9,18.9,4.09,Need P fertilizer
Wheat,6.02,2.83,100.4,29.4,192.1,563.5,19.1,4.61,No fertilizer needed
Soybeans,6.43,4.39,73.4,62.6,280.6,527.8,25.3,3.18,No fertilizer needed
Rice,5.98,4.38,91.4,29.9,129.4,966.1,24.9,4.95,No fertilizer needed
Rice,6.08,4.47,100.3,35.0,148.0,989.9,27.2,4.86,No fertilizer needed
Wheat,6.7,3.27,121.0,45.6,190.5,720.9,19.8,4.49,No fertilizer needed
Wheat,5.38,2.01,57.4,33.0,179.0,517.5,19.4,4.02,Need N fertilizer
Wheat,6.98,3.22,88.7,39.2,250.7,661.1,18.5,4.28,No fertilizer needed
Corn,5.99,1.85,102.7,41.5,169.2,734.6,21.5,6.49,No fertilizer needed
Rice,5.61,4.79,67.3,45.2,149.8,855.2,29.8,4.83,Need N fertilizer
Soybeans,6.57,4.69,64.9,36.1,219.0,702.0,22.0,3.06,No fertilizer needed
Soybeans,6.7,5.61,71.0,40.8,189.8,661.7,22.9,3.22,No fertilizer needed
Rice,6.53,4.0,116.2,15.1,136.1,963.4,23.3,4.79,Need P fertilizer
Soybeans,6.57,3.16,42.8,39.8,124.5,677.2,20.8,3.03,Need K-N complex fertilizer
Wheat,6.81,3.39,72.4,34.0,202.3,540.6,17.1,4.3,No fertilizer needed
Soybeans,6.38,4.45,47.8,42.7,186.4,641.8,19.0,3.29,No fertilizer needed
Corn,6.54,1.48,125.8,37.9,198.5,842.9,24.1,6.19,No fertilizer needed
Wheat,6.44,3.17,98.3,25.6,186.2,625.0,19.6,4.49,No fertilizer needed
Rice,5.78,4.7,128.3,30.8,135.4,865.5,27.9,4.74,No fertilizer needed
Soybeans,7.17,5.23,37.3,52.8,174.4,465.5,21.5,3.19,Need N fertilizer
Corn,6.97,2.53,128.2,24.1,201.6,651.4,25.7,6.29,Need P fertilizer
Corn,5.88,3.4,127.4,34.3,129.7,703.9,24.9,6.8,No fertilizer needed
Soybeans,5.97,3.96,59.0,38.2,205.3,662.3,25.8,3.18,No fertilizer needed
Rice,6.23,4.08,118.8,41.0,165.2,829.7,26.0,4.78,No fertilizer needed
Corn,6.87,2.58,110.2,26.8,132.9,656.6,24.5,6.52,Need P fertilizer
Rice,5.95,3.34,97.5,24.0,140.1,850.4,24.2,5.22,No fertilizer needed
Wheat,6.5,3.15,121.8,37.0,212.6,733.3,21.2,4.49,No fertilizer needed
Rice,5.33,3.56,140.0,39.8,147.2,983.3,27.0,4.85,No fertilizer needed
Corn,6.65,1.93,114.2,47.6,125.7,764.8,22.0,6.31,No fertilizer needed
Corn,6.99,2.4,98.7,28.6,142.1,733.0,23.4,6.14,No fertilizer needed
Rice,6.16,3.95,132.2,25.0,153.1,951.5,28.9,5.01,No fertilizer needed
Corn,6.35,1.98,143.5,39.3,144.3,802.3,25.6,6.36,No fertilizer needed
Wheat,7.03,3.69,100.6,46.4,248.8,665.1,15.5,4.34,No fertilizer needed
Wheat,7.53,3.83,72.9,42.7,196.0,639.4,18.7,4.41,No fertilizer needed
Wheat,7.07,3.21,146.2,15.3,179.4,615.4,18.1,4.0,Need P fertilizer
Wheat,5.7,3.7,101.3,47.6,203.2,587.6,16.5,4.26,No fertilizer needed
Corn,7.08,3.54,99.2,55.1,140.8,752.2,23.4,6.2,No fertilizer needed
Soybeans,6.54,3.6,34.0,27.8,222.7,559.4,26.2,2.84,Need N-P complex fertilizer
Rice,6.23,4.18,65.6,26.7,170.2,1001.5,23.9,4.8,Need N fertilizer
Corn,6.22,3.23,116.8,38.9,177.7,738.4,23.8,6.52,No fertilizer needed
Corn,6.89,2.22,124.2,39.8,109.8,622.7,21.9,6.65,Need K fertilizer
Soybeans,6.59,3.98,104.2,53.6,187.5,584.7,20.0,3.03,No fertilizer needed
Corn,7.28,2.33,144.3,28.8,181.1,751.5,22.6,6.42,No fertilizer needed
Corn,6.56,2.49,71.4,50.8,195.9,723.7,26.6,6.21,Need N fertilizer
Rice,6.28,3.83,112.2,34.6,160.7,948.2,29.0,4.89,No fertilizer needed
Wheat,6.77,3.15,148.1,35.8,188.8,579.9,22.2,4.43,No fertilizer needed
Soybeans,6.92,3.48,67.0,71.4,234.6,671.5,20.7,3.23,No fertilizer needed
Wheat,6.64,2.19,66.9,34.8,196.1,701.0,15.2,4.34,Need N fertilizer
Soybeans,7.77,4.18,59.4,27.6,157.7,645.2,23.9,2.9,Need P fertilizer
Wheat,7.76,2.41,100.1,40.7,216.4,699.1,17.6,4.25,No fertilizer needed
Soybeans,6.54,4.7,74.3,50.3,171.1,525.8,21.7,3.05,No fertilizer needed
Soybeans,6.39,3.1,81.7,35.1,232.7,581.8,26.4,3.15,No fertilizer needed
Soybeans,5.12,5.11,65.5,33.8,205.6,573.3,21.8,2.96,No fertilizer needed
Soybeans,6.53,3.65,41.3,41.2,183.3,549.3,18.9,3.18,Need N fertilizer
Corn,7.08,3.37,91.2,31.7,133.7,471.7,23.4,6.35,No fertilizer needed
Corn,6.77,2.36,112.4,58.0,195.5,599.9,23.0,6.68,No fertilizer needed
Soybeans,7.08,4.63,77.0,44.2,206.1,666.2,21.3,3.11,No fertilizer needed
Wheat,6.48,3.55,55.5,56.7,195.4,563.8,21.4,3.98,Need N fertilizer
Rice,5.38,3.5,92.1,20.4,174.3,1006.5,23.2,5.01,No fertilizer needed
Wheat,7.25,3.23,96.9,47.5,216.2,599.8,15.7,4.62,No fertilizer needed
Corn,6.68,3.37,129.1,50.7,174.7,666.7,26.5,6.47,No fertilizer needed
Wheat,5.34,2.92,107.5,19.7,194.0,672.4,20.0,4.2,Need P fertilizer
Wheat,6.23,3.57,117.3,37.4,219.5,599.1,15.9,4.4,No fertilizer needed
Corn,6.77,3.07,151.8,21.7,268.3,913.4,20.7,6.01,Need P fertilizer
Corn,6.35,2.52,135.9,24.5,250.9,572.1,21.9,6.23,Need P fertilizer
Wheat,7.32,3.61,106.6,23.4,231.4,535.2,16.9,4.56,No fertilizer needed
Corn,6.3,2.23,111.2,22.7,165.7,630.7,23.4,6.42,Need P fertilizer
Rice,6.32,3.56,108.4,32.3,184.0,973.2,24.6,4.78,No fertilizer needed
Wheat,7.53,2.98,100.6,22.4,251.5,665.3,16.9,4.2,Need P fertilizer
Rice,6.02,3.65,102.1,29.1,177.3,854.6,24.1,5.09,No fertilizer needed
Corn,6.4,2.97,110.5,57.9,145.9,714.7,18.0,6.26,No fertilizer needed
Soybeans,7.08,3.25,50.0,65.7,158.9,745.3,20.6,2.99,No fertilizer needed
Corn,6.53,2.11,109.8,33.8,288.2,588.0,22.7,6.44,No fertilizer needed
Soybeans,6.67,4.48,50.5,41.5,229.6,507.8,20.9,3.12,No fertilizer needed
Wheat,6.14,3.62,101.5,34.2,173.1,594.7,20.5,4.46,No fertilizer needed
Corn,7.32,3.35,91.7,34.1,199.5,602.7,21.1,6.59,No fertilizer needed
Corn,5.4,3.23,123.9,50.7,209.4,723.2,24.9,6.12,No fertilizer needed
Corn,6.89,2.02,165.0,32.7,106.7,620.2,22.3,6.31,Need K fertilizer
Corn,7.18,2.32,87.1,33.6,207.1,608.1,21.8,6.26,Need N fertilizer
Soybeans,6.32,5.43,98.8,29.8,136.7,685.9,22.9,2.95,Need P fertilizer
Corn,6.55,3.46,117.6,43.5,238.6,682.5,23.2,6.21,No fertilizer needed
Wheat,6.73,3.72,76.1,29.5,228.5,709.7,20.0,4.59,No fertilizer needed
Soybeans,5.63,3.6,66.9,35.3,175.5,571.3,21.2,3.14,No fertilizer needed
Wheat,6.17,3.41,89.6,32.7,238.7,671.3,17.9,4.49,No fertilizer needed
Corn,6.51,4.38,140.2,46.0,176.3,627.3,23.9,6.48,No fertilizer needed
Corn,7.49,2.85,101.6,60.7,145.9,789.2,22.0,6.0,No fertilizer needed
Rice,5.53,3.88,125.0,11.8,179.0,936.2,24.9,4.72,Need P fertilizer
Rice,5.64,4.14,98.0,34.7,163.3,946.8,23.2,5.0,No fertilizer needed
Soybeans,6.78,4.25,60.5,60.1,117.0,459.0,21.8,3.08,Need K fertilizer
Wheat,6.35,3.35,138.3,36.5,174.5,674.2,16.3,4.44,No fertilizer needed
Soybeans,5.67,4.13,107.4,55.9,173.0,469.3,24.1,2.92,No fertilizer needed
Soybeans,7.24,2.54,84.1,64.5,261.2,474.5,19.6,3.02,No fertilizer needed
Corn,7.12,2.31,119.9,37.2,166.4,607.8,23.7,6.65,No fertilizer needed
Soybeans,6.56,3.21,59.6,53.2,186.8,568.4,20.0,3.04,No fertilizer needed
Wheat,6.27,4.2,91.6,29.8,195.8,625.1,17.7,4.36,No fertilizer needed
Wheat,6.25,3.3,122.5,37.7,207.8,482.6,17.7,4.39,No fertilizer needed
Corn,6.34,3.19,125.0,45.5,170.7,822.5,24.1,6.45,No fertilizer needed
Soybeans,7.08,3.46,99.8,56.7,201.8,450.4,22.0,2.98,No fertilizer needed
Corn,5.88,3.24,121.8,39.8,204.8,629.5,22.0,6.71,No fertilizer needed
Soybeans,7.51,4.37,66.3,53.0,165.8,637.7,21.1,3.12,No fertilizer needed
Corn,7.16,2.84,86.6,26.5,131.4,638.3,25.3,6.26,Need N-P complex fertilizer
Wheat,6.62,4.01,84.5,43.6,154.2,683.6,17.4,4.71,No fertilizer needed
Wheat,6.83,3.81,112.7,29.0,180.8,604.7,19.8,4.32,No fertilizer needed
Corn,5.91,2.69,109.0,37.9,202.9,732.8,18.8,6.53,No fertilizer needed
Wheat,5.76,2.86,107.5,60.5,224.2,697.6,16.0,4.19,No fertilizer needed
Wheat,7.76,2.6,98.8,39.7,255.5,668.7,17.4,4.63,No fertilizer needed
Rice,6.3,3.39,168.6,27.3,219.1,929.9,23.8,4.62,No fertilizer needed
Corn,6.83,3.04,62.1,34.7,242.3,744.4,19.6,6.21,Need N fertilizer
Corn,6.46,2.03,98.6,23.3,139.0,743.1,22.2,6.09,Need P fertilizer
Corn,6.13,3.09,145.4,40.8,143.2,758.6,23.4,6.53,No fertilizer needed
Rice,6.51,3.77,61.6,22.9,132.1,935.1,23.6,4.97,Need N fertilizer
Corn,5.83,2.97,141.8,26.5,160.8,779.4,23.1,6.58,Need P fertilizer
Rice,5.63,3.94,71.7,28.9,232.0,893.3,26.8,4.77,Need N fertilizer
Soybeans,6.46,3.72,86.7,34.3,200.6,543.2,23.7,3.11,No fertilizer needed
Soybeans,7.56,4.26,95.0,59.8,204.3,470.8,21.5,2.96,No fertilizer needed
Wheat,7.15,2.71,75.0,41.8,213.1,544.4,18.2,4.43,No fertilizer needed
Corn,5.84,2.51,127.9,48.5,237.0,703.4,22.9,6.34,No fertilizer needed
Rice,4.94,3.61,152.7,31.7,122.7,797.2,29.4,4.86,No fertilizer needed
Soybeans,7.0,3.77,80.9,41.1,204.4,573.2,24.4,3.23,No fertilizer needed
Soybeans,5.97,4.07,70.5,40.2,202.3,561.4,19.9,3.11,No fertilizer needed
Soybeans,6.45,4.15,93.9,58.2,236.8,556.3,23.8,3.07,No fertilizer needed
Rice,4.29,2.65,65.4,32.1,158.4,875.7,21.1,4.52,Need N fertilizer
Soybeans,7.25,4.12,49.0,45.1,107.1,581.2,18.7,2.96,Need K fertilizer
Wheat,7.45,3.5,50.3,20.0,156.8,557.4,15.9,3.95,Need N-P complex fertilizer
Soybeans,6.44,4.13,53.6,35.3,194.5,601.2,22.4,3.28,No fertilizer needed
Corn,6.91,2.17,110.6,48.5,183.0,687.4,24.8,6.5,No fertilizer needed
Wheat,7.38,2.78,103.7,45.8,189.4,631.8,16.7,4.53,No fertilizer needed
Corn,6.74,2.55,132.1,47.7,229.3,800.4,21.9,6.6,No fertilizer needed
Corn,5.62,2.97,166.1,30.0,218.1,588.7,22.2,6.16,No fertilizer needed
Rice,5.45,3.77,113.9,38.0,198.0,928.3,24.6,4.84,No fertilizer needed
Corn,6.37,2.9,127.8,58.1,177.0,649.1,17.7,6.15,No fertilizer needed
Rice,6.21,4.47,128.7,32.1,158.7,928.0,25.0,5.25,No fertilizer needed
Corn,7.16,2.22,117.9,24.0,176.2,851.9,22.1,6.53,Need P fertilizer
Soybeans,6.05,4.34,82.3,30.1,186.0,448.7,23.7,3.24,Need P fertilizer
Soybeans,6.31,4.31,58.5,29.1,235.7,601.0,18.8,3.26,Need P fertilizer
Wheat,6.73,2.15,94.9,17.1,185.9,570.7,16.1,4.3,Need P fertilizer
Wheat,5.71,3.51,84.4,39.3,228.2,593.2,23.9,4.51,No fertilizer needed
Corn,6.41,3.7,121.0,27.4,224.7,583.7,23.9,6.31,No fertilizer needed
Soybeans,6.12,5.01,42.7,28.8,225.2,585.5,22.0,2.93,Need N-P complex fertilizer
Wheat,6.87,2.86,77.7,55.6,172.3,728.9,19.0,4.32,No fertilizer needed
Soybeans,6.64,5.57,62.2,6.0,196.1,521.7,21.1,3.03,Need P fertilizer
Rice,6.12,3.62,107.2,31.5,156.3,931.5,24.2,5.02,No fertilizer needed
Corn,6.0,4.05,111.1,47.4,181.4,863.9,21.6,6.56,No fertilizer needed
Rice,5.65,4.63,75.5,25.3,112.6,942.4,27.4,4.59,Need N fertilizer
Rice,6.07,3.65,110.5,23.2,129.8,901.8,25.9,5.21,No fertilizer needed
Rice,6.17,3.84,116.1,21.0,199.0,880.2,25.8,5.0,No fertilizer needed
Soybeans,6.96,3.48,49.4,45.4,242.1,654.3,19.0,3.11,No fertilizer needed
Soybeans,6.87,5.03,49.0,58.1,268.1,521.1,22.1,3.19,No fertilizer needed
Wheat,6.53,3.73,34.9,25.5,212.5,566.3,22.5,4.28,Need N fertilizer
Soybeans,7.2,4.36,85.2,38.4,249.7,552.0,21.1,3.11,No fertilizer needed
Rice,6.53,2.65,93.5,26.4,150.8,957.7,26.7,5.11,No fertilizer needed
Corn,7.09,3.66,89.2,33.8,216.6,685.8,18.1,6.4,Need N fertilizer
Wheat,6.17,3.15,108.5,34.6,229.9,716.8,22.0,4.64,No fertilizer needed
Rice,5.71,3.36,93.7,11.3,188.2,880.7,25.8,4.61,Need P fertilizer
Wheat,7.5,3.29,107.1,37.4,167.1,682.8,19.4,4.48,No fertilizer needed
Soybeans,6.46,4.34,38.8,56.3,179.5,655.1,22.8,3.2,Need N fertilizer
Corn,5.88,2.52,119.1,48.9,91.2,620.1,21.6,6.06,Need K fertilizer
Soybeans,6.46,4.29,37.9,37.8,192.4,451.8,22.2,3.14,Need N fertilizer
Soybeans,6.25,4.21,73.4,54.6,248.6,572.2,23.4,3.09,No fertilizer needed
Rice,5.85,4.92,108.4,34.4,121.4,809.2,22.5,4.96,No fertilizer needed
Soybeans,6.84,5.48,41.4,37.9,195.5,498.7,23.6,2.95,Need N fertilizer
Soybeans,7.08,3.69,73.2,63.2,167.0,504.5,25.5,3.26,No fertilizer needed
Soybeans,6.46,4.01,27.5,62.8,142.3,589.6,22.3,3.14,Need N fertilizer
Soybeans,6.35,4.49,72.5,32.7,186.3,658.7,23.9,3.05,No fertilizer needed
Wheat,6.09,2.72,87.8,27.7,239.2,524.5,15.3,4.45,No fertilizer needed
Corn,6.52,2.97,138.7,36.5,212.2,698.0,21.7,6.43,No fertilizer needed
Corn,5.91,2.33,138.7,16.1,255.7,697.6,21.9,6.05,Need P fertilizer
Soybeans,7.23,3.69,78.3,43.1,204.3,509.3,22.0,3.11,No fertilizer needed
Wheat,6.92,2.18,119.9,64.8,181.5,577.7,17.3,4.0,No fertilizer needed
Corn,6.27,3.0,105.4,10.2,186.1,603.5,18.6,6.39,Need P fertilizer
Rice,6.32,4.44,83.1,35.1,144.5,820.9,21.5,5.06,No fertilizer needed
Wheat,5.96,4.31,93.5,30.7,231.3,738.3,20.6,4.34,No fertilizer needed
Wheat,6.61,3.63,118.0,37.2,218.9,569.9,19.3,4.5,No fertilizer needed
Soybeans,6.12,3.93,78.9,41.1,125.3,583.1,24.6,3.15,Need K fertilizer
Rice,6.71,3.91,125.1,31.5,167.4,770.8,25.9,5.06,No fertilizer needed
Soybeans,8.09,4.58,47.8,24.4,175.9,618.0,20.5,3.07,Need P fertilizer
Rice,5.42,3.85,113.7,12.7,185.1,907.6,23.1,4.97,Need P fertilizer
Corn,7.37,1.55,98.6,31.8,244.7,645.1,23.6,6.27,No fertilizer needed
Corn,6.23,3.51,81.8,36.1,176.7,785.3,23.7,6.39,Need N fertilizer
Wheat,6.72,2.65,85.4,23.3,184.2,585.7,20.3,4.66,No fertilizer needed
Rice,7.07,3.28,127.7,31.2,235.6,859.3,22.5,5.02,No fertilizer needed
Soybeans,7.18,4.41,79.6,52.3,196.6,539.1,19.7,3.32,No fertilizer needed
Corn,7.03,2.32,145.0,38.0,241.5,552.2,23.0,6.34,No fertilizer needed
Corn,6.4,3.15,120.8,30.4,199.4,674.0,20.5,6.63,No fertilizer needed
Soybeans,7.01,4.73,95.0,37.0,175.9,670.5,24.3,3.21,No fertilizer needed
Wheat,6.68,2.53,127.2,43.0,237.5,654.3,21.8,4.34,No fertilizer needed
Corn,8.03,2.84,122.0,43.9,217.6,715.1,23.5,6.31,No fertilizer needed
Corn,6.23,2.88,117.1,45.7,151.8,639.6,21.4,6.24,No fertilizer needed
Rice,5.92,2.88,143.6,51.5,179.9,772.0,22.2,4.55,No fertilizer needed
Rice,6.13,4.73,82.4,43.7,111.3,970.3,24.0,4.57,No fertilizer needed
Corn,6.02,2.82,90.9,21.6,153.2,559.0,23.1,6.03,Need P fertilizer
Wheat,6.09,3.67,105.1,6.5,142.3,680.8,14.4,4.34,Need P fertilizer
Soybeans,7.18,4.19,69.7,28.8,197.4,610.2,22.7,3.06,Need P fertilizer
Rice,5.58,2.73,104.5,35.0,202.5,808.0,26.9,5.09,No fertilizer needed
Wheat,6.36,4.23,91.5,48.4,198.3,710.7,17.8,4.39,No fertilizer needed
Rice,6.52,3.6,113.7,33.9,135.0,823.0,24.3,4.83,No fertilizer needed
Corn,6.67,2.79,129.7,26.3,147.8,623.1,23.5,6.49,Need P fertilizer
Soybeans,7.09,4.35,62.3,34.6,230.5,711.9,18.3,3.09,No fertilizer needed
Soybeans,6.03,4.47,87.1,70.1,182.6,595.1,23.0,3.17,No fertilizer needed
Rice,5.23,3.13,125.4,16.1,166.7,912.6,26.1,4.67,Need P fertilizer
Corn,6.2,2.46,123.7,45.0,187.1,717.9,23.2,6.77,No fertilizer needed
Corn,6.23,2.54,111.2,33.8,201.4,657.0,22.2,6.24,No fertilizer needed
Corn,5.66,2.65,160.0,51.8,156.8,795.4,23.4,6.04,No fertilizer needed
Corn,6.26,2.79,63.4,18.5,247.8,796.8,23.5,5.69,Need N-P complex fertilizer
Rice,5.4,2.46,104.8,43.3,183.5,950.7,24.4,5.01,No fertilizer needed
Wheat,7.04,2.99,85.5,30.7,213.3,577.1,21.1,4.56,No fertilizer needed
Soybeans,6.12,3.84,51.4,39.6,151.2,459.7,23.5,3.29,No fertilizer needed
Rice,6.33,3.94,69.6,37.7,155.1,895.8,23.9,4.7,Need N fertilizer
Rice,6.46,3.1,104.6,16.5,193.0,843.7,25.9,4.66,Need P fertilizer
Soybeans,6.2,4.88,84.6,58.1,188.5,500.6,22.7,3.25,No fertilizer needed
Rice,6.19,3.3,104.8,13.6,181.8,873.2,22.7,4.72,Need P fertilizer
Soybeans,6.63,5.11,72.8,30.7,236.6,703.2,24.2,2.98,Need P fertilizer
Corn,5.97,3.07,165.4,34.2,201.4,820.3,21.4,6.63,No fertilizer needed
Wheat,6.32,2.97,78.3,31.8,193.4,678.4,18.1,4.43,No fertilizer needed
Corn,6.7,3.1,147.4,23.5,235.8,707.6,22.5,5.91,Need P fertilizer
Soybeans,7.68,3.74,89.5,46.3,173.3,603.6,18.6,3.15,No fertilizer needed
Wheat,7.01,1.74,85.4,27.6,165.0,608.9,19.4,4.24,No fertilizer needed
Rice,5.49,3.2,78.4,39.9,233.1,822.8,24.0,4.84,Need N fertilizer
Soybeans,7.38,4.35,71.1,58.2,217.5,597.2,22.4,3.08,No fertilizer needed
Corn,6.92,3.99,120.4,51.5,148.0,501.9,25.3,6.3,No fertilizer needed
Soybeans,7.08,3.2,59.1,40.3,199.4,625.1,19.9,3.27,No fertilizer needed
Rice,5.85,3.93,135.4,47.9,160.7,884.7,22.2,4.73,No fertilizer needed
Wheat,6.02,2.53,101.3,19.9,167.2,647.7,18.2,4.33,Need P fertilizer
Soybeans,6.46,3.71,75.3,60.4,173.7,653.5,20.0,3.11,No fertilizer needed
Rice,6.02,2.99,97.5,29.6,169.9,1009.1,22.2,4.81,No fertilizer needed
Corn,6.43,3.14,114.9,54.8,179.1,736.7,24.3,6.22,No fertilizer needed
Rice,6.04,3.58,98.3,63.2,148.7,1003.3,24.8,4.75,No fertilizer needed
Rice,5.76,3.82,159.5,35.7,147.7,890.6,27.4,4.77,No fertilizer needed
Wheat,5.44,2.34,100.4,29.9,185.6,624.2,16.6,4.5,No fertilizer needed
Rice,6.89,3.85,94.7,28.9,173.1,897.3,26.2,5.08,No fertilizer needed
Rice,5.94,3.19,168.6,25.2,210.9,925.7,25.5,4.84,No fertilizer needed
Wheat,5.98,3.77,97.7,39.4,186.4,642.4,19.2,4.63,No fertilizer needed
Soybeans,6.77,4.15,56.7,22.9,170.7,560.3,17.7,3.02,Need P fertilizer
Rice,5.8,3.63,134.9,18.8,227.1,976.5,26.5,5.09,No fertilizer needed
Rice,6.01,3.58,107.0,26.1,174.0,966.5,25.5,5.23,No fertilizer needed
Rice,6.67,3.64,146.9,6.3,164.6,924.3,22.8,4.9,Need P fertilizer
Soybeans,6.9,4.81,34.1,26.9,195.6,570.7,20.6,3.01,Need N-P complex fertilizer
Corn,7.34,2.52,129.6,32.4,175.9,702.8,22.4,6.56,No fertilizer needed
Rice,6.16,4.04,95.6,43.7,172.3,801.4,24.1,4.73,No fertilizer needed
Rice,6.79,3.82,123.0,21.2,157.5,705.4,24.1,4.99,No fertilizer needed
Rice,5.95,4.82,110.0,41.2,193.5,856.3,21.4,5.15,No fertilizer needed
Wheat,6.67,3.62,115.6,34.4,200.3,565.0,21.5,4.64,No fertilizer needed
Corn,6.52,2.5,72.9,21.4,163.6,646.7,21.0,6.24,Need N-P complex fertilizer
Rice,5.81,3.1,104.8,21.8,164.0,869.1,25.6,5.17,No fertilizer needed
Soybeans,5.92,4.9,58.2,41.9,125.3,465.7,19.3,3.27,Need K fertilizer
Soybeans,7.09,5.77,77.9,38.0,249.0,525.6,20.4,3.2,No fertilizer needed
Soybeans,6.07,4.55,73.0,41.9,227.1,561.0,23.0,3.08,No fertilizer needed
Corn,6.8,2.38,147.8,42.5,159.4,615.3,24.3,6.4,No fertilizer needed
Wheat,7.5,3.62,95.7,32.4,217.1,581.7,20.9,4.57,No fertilizer needed
Wheat,6.77,3.76,168.7,31.4,216.6,597.1,18.7,4.29,No fertilizer needed
Rice,6.88,4.42,135.5,48.9,123.1,924.8,23.8,4.67,No fertilizer needed
Soybeans,7.65,3.77,40.6,50.4,165.9,780.1,21.8,3.12,Need N fertilizer
Corn,6.06,2.27,172.3,49.8,198.5,733.6,19.9,6.58,No fertilizer needed
Rice,6.04,3.39,109.9,17.7,149.1,755.3,27.3,5.05,Need P fertilizer
Corn,6.23,3.22,85.3,30.7,160.5,801.7,21.7,6.1,Need N fertilizer
Rice,5.89,4.01,85.3,18.6,138.9,866.0,27.7,4.71,No fertilizer needed
Wheat,6.96,3.77,102.4,24.7,209.1,591.8,18.0,4.61,No fertilizer needed
Wheat,6.89,3.48,98.2,33.5,158.7,555.6,15.8,4.32,No fertilizer needed
Corn,6.72,2.61,89.2,26.8,234.5,755.5,21.7,6.55,Need N-P complex fertilizer
Wheat,6.98,3.31,104.3,52.1,275.0,657.8,18.8,4.24,No fertilizer needed
Wheat,6.34,4.11,69.1,28.9,193.1,477.8,18.5,4.25,Need N fertilizer
